S. No.,States/UTs,2008-09,2009-10,2010-11,2011-12,2012-13
1,Andhra Pradesh,9569.58,10429.21,11203.44,12088,12761.65
2,Arunachal Pradesh,24.39,26.3,28.42,21.93,22.72
3,Assam,753.15,756.36,790.43,796,799.67
4,Bihar,5934.15,6123.94,6517.21,6643,6844.84
5,Chhattisgarh,907.87,956.25,1029.32,1119,1164.05
6,Goa,58.81,58.96,59.59,59.85,61.24
7,Gujarat,8386.45,8843.54,9320.84,9817,10314.63
8,Haryana,5745.24,6006.1,6267.26,6661,7040.24
9,Himachal Pradesh,1026.45,971.4,1102.5,1120,1138.6
10,Jammu and Kashmir,1564.51,1592.43,1609.25,1614.43,1630.56
11,Jharkhand,1466.35,1462.61,1554.8,1745,1679
12,Karnataka,4537.65,4821.82,5114.06,5447,5718.22
13,Kerala,2440.53,2509.09,2644.65,2716,2790.58
14,Madhya Pradesh,6855.21,7166.89,7514.23,8149,8837.79
15,Maharashtra,7454.79,7679.3,8043.97,8469,8733.69
16,Manipur,78.47,77.6,78,78.61,80.03
17,Meghalaya,77.47,78.06,79.14,79.69,80.52
18,Mizoram,16.88,10.63,11.43,13.91,13.63
19,Nagaland,53.44,77.74,76.03,78,78.66
20,Odisha,1597.97,1651.08,1671.01,1721,1724.4
21,Punjab,9387.2,9389.05,9423.15,9551,9724.34
22,Rajasthan,11931.47,12330.72,13233.54,13512,13945.92
23,Sikkim #,42.04,43.96,43.21,45,42.24
24,Tamil Nadu,6651.33,6786.6,6831.15,6968,7004.73
25,Tripura,95.59,100.1,104.48,111,118.04
26,Uttar Pradesh,19537.49,20202.51,21031.32,22556,23329.55
27,Uttarakhand,1230.48,1377.25,1383.45,1417,1478.38
28,West Bengal,4176.36,4300.07,4471.06,4672,4859.23
29,AandN Islands,25.77,23.75,25.36,26,21.45
30,Chandigarh,46.57,46.43,45.04,45.09,44.03
31,D.and N. Haveli #,10.27,10.39,10.57,11,11
32,Daman and Diu #,1.35,1.36,1.39,1,1
33,Delhi,450.26,465.58,479.63,502,286.58
34,Lakshadweep,2.29,2.31,1.98,2.38,2.21
35,Puducherry,45.53,45.91,46.74,45.09,47.17
All India,All India,112183.36,116425.3,121847.65,127904,132430.59
